iter	Passed	Remaining
0	1	113
1	2	102
2	3	102
3	3	90
4	4	89
5	5	93
6	6	92
7	7	90
8	8	88
9	9	89
10	11	89
11	11	86
12	13	87
13	14	86
14	15	85
15	15	83
16	16	81
17	17	79
18	18	77
19	19	76
20	20	76
21	21	76
22	22	75
23	23	73
24	24	72
25	25	72
26	26	71
27	27	70
28	28	69
29	29	67
30	29	66
31	30	65
32	31	64
33	32	63
34	33	62
35	34	61
36	35	59
37	36	59
38	37	58
39	37	56
40	39	56
41	39	54
42	40	53
43	41	52
44	41	51
45	42	50
46	43	49
47	44	48
48	45	47
49	46	46
50	47	45
51	48	45
52	49	44
53	50	43
54	50	41
55	51	40
56	52	39
57	53	38
58	54	37
59	54	36
60	55	35
61	56	34
62	57	33
63	58	32
64	59	31
65	59	30
66	60	29
67	61	28
68	62	27
69	62	26
70	63	26
71	64	25
72	65	24
73	66	23
74	67	22
75	68	21
76	69	20
77	70	19
78	71	18
79	71	17
80	72	17
81	73	16
82	74	15
83	75	14
84	75	13
85	76	12
86	77	11
87	78	10
88	79	9
89	80	8
90	81	8
91	82	7
92	83	6
93	84	5
94	84	4
95	85	3
96	86	2
97	87	1
98	88	0
99	88	0
